Publication Type,Authors,Article Title,Source Title,Language,Document Type,Author Keywords,Keywords Plus,Abstract,"Type (research, intervention, review)",Country,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas
J,"Bennett, EM; Florent, SN; Venosta, M; Gibson, M; Jackson, A; Stark, E",Curtailment as a successful method for reducing bat mortality at a southern Australian wind farm,AUSTRAL ECOLOGY,English,Article,bat fatality monitoring; mitigation; southern bent-wing bat; white-striped free-tailed bat; wind energy,FREE-TAILED BATS; ECHOLOCATION CALLS; ENERGY FACILITIES; FATALITIES; HABITAT; CARCASSES; PATTERNS; HEIGHT; POWER; BIRD,"Wind energy is a rapidly expanding renewable technology with massive global investments; however, operating turbines are associated with bat strikes globally, and evidence suggests that without intervention, wind farm collisions could drive some common species to extinction. One widely regarded method for reducing strike mortality is operational mitigation, or curtailment, where turbine operation is restricted at low wind speeds. Despite an increasing number of studies in the Northern Hemisphere demonstrating curtailment effectiveness, no empirical studies have yet been conducted in Australia. This paper reports the findings of a curtailment study implemented at the Cape Nelson North wind farm in southwest Victoria, Australia. Conservation detection dog teams conducted mortality surveys between January and April in 2018 (before; pre-curtailment) and 2019 (after; during curtailment). Results were consistent with similar studies in the USA and Europe, as curtailment significantly reduced pooled species mortality by 54%. Bat calls did not decline during the study period, and thus were not an explanation for the reduction in fatalities. This study demonstrates that curtailment is a valid method for reducing bat turbine collision in south-eastern Australia. Consideration should be given to curtailment as a means to reduce bat turbine impacts in Australia, particularly at sites with known endangered and threatened populations, as we act to reduce anthropogenic climate change and its time-sensitive negative consequences.",intervention,Australia,66,0,0,3,10,AUSTRAL ECOL,Austral Ecol.,SEP,2022,47,6,10.1111/aec.13220,http://dx.doi.org/10.1111/aec.13220,,22-Jul,11,Ecology,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology
J,"Hull, CL; Cawthen, L","Bat fatalities at two wind farms in Tasmania, Australia: bat characteristics, and spatial and temporal patterns",NEW ZEALAND JOURNAL OF ZOOLOGY,English,Article,bats; wind farms; collisions; Chalinolobus gouldii; Australia,LONG-EARED BAT; ENERGY FACILITIES; TURBINES; MORTALITY; CONSERVATION; HYPOTHESES; BAROTRAUMA; BEHAVIOR; FORESTS; MODEL,"Bat carcasses from two wind farms in Tasmania (20022010) were assessed to determine the species, sex, age, reproductive state, morphometrics, presence of food in the gastrointestinal tract, and evidence of spatial and seasonal patterns. Thirty-eight of the 54 carcasses were Gould's wattled bats, with another 14 likely to be, and two Vespadelus sp. All but two were adults, with an equal ratio of females and males. None were actively breeding when found, and five of the six bats tested, had not been recently feeding. Mortalities predominantly occurred in autumn, with a small difference between sites. There was no pattern in the location of carcasses. There appear to be particular ecological, morphological and behavioural characteristics associated with bat collision risktree roosting bats with high wing aspect ratios that forage in the open air at high altitude appear to be susceptible. Seasonal patterns may be associated with specific behaviours.",research,Australia,40,13,13,0,55,NEW ZEAL J ZOOL,N. Z. J. Zool.,1-Mar,2013,40,1,10.1080/03014223.2012.731006,http://dx.doi.org/10.1080/03014223.2012.731006,,,11,Zoology,Science Citation Index Expanded (SCI-EXPANDED),Zoology
J,"Hull, CL; Muir, S",Search areas for monitoring bird and bat carcasses at wind farms using a Monte-Carlo model,AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT,English,Article,bird and bat monitoring; wind farms,MORTALITY,"A regularly raised concern for wind farms is the number of species and rate of bird and bat collisions with turbines. Australian regulators require, at some operating wind farms, the monitoring of bird and bat collisions. Although monitoring is becoming more commonplace, the area recommended for searching beneath turbines is inconsistent, with many guidelines both in Australia and overseas being based on conjecture rather than empirical evidence. This has the potential to bias survey results, reduce confidence in the data collected, and preclude meaningful comparisons between sites. By having a measure of the range of the fall zone of a bird or bat, a survey can be designed that ensures that an adequate area is being searched and that the cost of searching outside the area where birds and bats can fall is minimised. This article outlines a model that describes the fall zone of bats and birds of various sizes after colliding with different sized turbines, by applying a Monte-Carlo approach to ballistics theory. The modelling results are benchmarked with data from two Australian wind farms and one from the USA, for which data were available. The results indicate the size of the search area required around already constructed turbines, and the search area required to estimate levels of background mortality for control zones for pre-commission mortality surveys.",research,"Australia, United States of America",32,45,47,1,29,AUSTRALAS J ENV MAN,Australas. J. Environ. Manag.,JUN,2010,17,2,10.1080/14486563.2010.9725253,http://dx.doi.org/10.1080/14486563.2010.9725253,,,11,Environmental Studies,Social Science Citation Index (SSCI),Environmental Sciences & Ecology
J,"Happ, C; Sutor, A; Hochradel, K",Methodology for the Automated Visual Detection of Bird and Bat Collision Fatalities at Onshore Wind Turbines,JOURNAL OF IMAGING,English,Article,bird; bat; automatic fatality detection; camera system; NIR; LWIR; image processing; background subtraction; region based; structural similarity,DOGS,"The number of collision fatalities is one of the main quantification measures for research concerning wind power impacts on birds and bats. Despite being integral in ongoing investigations as well as regulatory approvals, the state-of-the-art method for the detection of fatalities remains a manual search by humans or dogs. This is expensive, time consuming and the efficiency varies greatly among different studies. Therefore, we developed a methodology for the automatic detection using visual/near-infrared cameras for daytime and thermal cameras for nighttime. The cameras can be installed in the nacelle of wind turbines and monitor the area below. The methodology is centered around software that analyzes the images in real time using pixel-wise and region-based methods. We found that the structural similarity is the most important measure for the decision about a detection. Phantom drop tests in the actual wind test field with the system installed on 75 m above the ground resulted in a sensitivity of 75.6% for the nighttime detection and 84.3% for the daylight detection. The night camera detected 2.47 false positives per hour using a time window designed for our phantom drop tests. However, in real applications this time window can be extended to eliminate false positives caused by nightly active animals. Excluding these from our data reduced the false positive rate to 0.05. The daylight camera detected 0.20 false positives per hour. Our proposed method has the advantages of being more consistent, more objective, less time consuming, and less expensive than manual search methods.",research,Austria,28,0,0,0,10,J IMAGING,J. Imaging,DEC,2021,7,12,10.3390/jimaging7120272,http://dx.doi.org/10.3390/jimaging7120272,,,25,Imaging Science & Photographic Technology,Emerging Sources Citation Index (ESCI),Imaging Science & Photographic Technology
J,"Brabant, R; Laurent, Y; Poerink, BJ; Degraer, S",The Relation between Migratory Activity of Pipistrellus Bats at Sea and Weather Conditions Offers Possibilities to Reduce Offshore Wind Farm Effects,ANIMALS,English,Article,bats; bat migration; Pipistrellus sp; offshore wind farms; collision; mitigation; weather conditions,AUTUMN; PHENOLOGY; MORTALITY; BEHAVIOR,"Simple Summary Some species of bats migrate over longer distances between their summer roosts and winter areas. During migration, many man-made obstacles, such as wind farms, can pose a collision risk for bats. As it is known that bats can fly over open sea during migration, and offshore wind farms can also be problematic. We studied the presence of bats during migration at several North Sea locations with the aim of understanding the weather conditions triggering bat migration at sea. Our results show a decrease in bat activity with distance from the coast and a correlation between bat migration and wind speed (negative), wind direction, temperature (positive), and atmospheric pressure (positive). Understanding these relationships can help in reducing the effects of offshore wind farms by periodically idling the blades when optimal meteorological conditions prevail and by opting for wind farm locations where bat activity is less prevalent. Bats undertaking seasonal migration between summer roosts and wintering areas can cross large areas of open sea. Given the known impact of onshore wind turbines on bats, concerns were raised on whether offshore wind farms pose risks to bats. Better comprehension of the phenology and weather conditions of offshore bat migration are considered as research priorities for bat conservation and provide a scientific basis for mitigating the impact of offshore wind turbines on bats. This study investigated the weather conditions linked to the migratory activity of Pipistrellus bats at multiple near- and offshore locations in the Belgian part of the North Sea. We found a positive relationship between migratory activity and ambient temperature and atmospheric pressure and a negative relationship with wind speed. The activity was highest with a wind direction between NE and SE, which may favor offshore migration towards the UK. Further, we found a clear negative relationship between the number of detections and the distance from the coast. At the nearshore survey location, the number of detections was up to 24 times higher compared to the offshore locations. Our results can support mitigation strategies to reduce offshore wind farm effects on bats and offer guidance in the siting process of new offshore wind farms.",research,Belgium,37,2,2,2,14,ANIMALS-BASEL,Animals,DEC,2021,11,12,10.3390/ani11123457,http://dx.doi.org/10.3390/ani11123457,,,13,"Agriculture, Dairy & Animal Science; Veterinary Sciences; Zoology",Science Citation Index Expanded (SCI-EXPANDED),Agriculture; Veterinary Sciences; Zoology
J,"Brabant, R; Laurent, Y; Poerink, BJ; Degraer, S",Activity and behaviour of Nathusius' pipistrelle Pipistrellus nathusii at low and high altitude in a North Sea offshore wind farm,ACTA CHIROPTEROLOGICA,English,Article,bats; bat activity; Nathusius' pipistrelle; Pipistrellus nathusii; offshore wind turbines; nacelle height; collision risk,BAT FATALITIES; MIGRATION; BAROTRAUMA; PHENOLOGY; MORTALITY; TURBINE,"Several bat species are known to migrate long distances between summer and winter roosts. During migration, many bats even cross the North Sea. The developments of offshore wind farms in the North Sea could therefore pose a collision risk for migrating bats. While bats have been observed inside offshore wind farms, their activity at turbine rotor height yet remains unknown. We therefore installed acoustic bat detectors at wind turbines in the Belgian part of the North Sea. Seven detectors were installed on the service platform of the transition piece (16 m above mean sea level) and four were installed on the nacelle of the turbines, in the centre of the rotor swept area (93 m above mean sea level). A total of 151 recordings of call sequences of Pipistrellus nathusii (Nathusius' pipistrelle) were made during 20 nights over an entire autumn migration season (8 August - 30 November 2017). 45 recordings contained more than 10 calls. These were further investigated for behavioural clues. We identified 32 recordings of animals in transit and 10 sequences of animals passing by while simultaneously exploring. Only three detections contained feeding buzzes and/or intense exploratory behaviour. The number of recordings at 93 m were around 10% of the number of recordings made at 16 m. This indicates that the activity of P. nathusii at our study site, measured at that particular altitude is low. Our observations therefore suggest that the collision risk might be lower than what could be expected from low altitude observations. However, a low number of recordings at nacelle height does not necessarily mean that only a low number of bats will collide with the turbines. The activity in the outer parts of the rotor swept zone, outside the detection range of our acoustic detectors, remains unknown and should be further investigated.",research,Belgium,37,4,4,1,13,ACTA CHIROPTEROL,Acta Chiropt.,DEC,2019,21,2,10.3161/15081109ACC2019.21.2.009,http://dx.doi.org/10.3161/15081109ACC2019.21.2.009,,,8,Zoology,Science Citation Index Expanded (SCI-EXPANDED),Zoology
J,"Barros, MAS; de Magalhaes, RG; Rui, AM","Species composition and mortality of bats at the Osorio Wind Farm, southern Brazil",STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,English,Article,Latin America; collision mortality; Artibeus lituratus; lasiurine bats; Tadarida brasiliensis; wind power,ENERGY DEVELOPMENT; FATALITIES; TURBINES; BEHAVIOR; IMPACTS; BAROTRAUMA; RICHNESS; PATTERNS; LASIURUS; MAMMALIA,"We present the results of a three-year study on the bat species killed by wind turbines at the Osorio Wind Farm, a large wind power complex in southern Brazil, and compare these fatalities to the composition of the local bat fauna. Fatality searches around wind turbines were conducted from 2006 to 2009, as well as a bat inventory through mist-netting and searches for colonies from 2004 to 2010. We found a total of 336 bat fatalities: Tadarida brasiliensis (n = 245), Lasiurus cinereus (n = 44), Nyctinomops laticaudatus (n = 12), Molossus molossus (n = 9), Lasiurus blossevillii (n = 6), Promops nasutus (n = 3), Lasiurus ega (n = 3), Molossus rufus (n = 1), and Artibeus lituratus (n = 1). By mist-netting, we recorded 13 bat species in the region, of which only six were killed by wind turbines. Our results are similar to mortality patterns from the Northern Hemisphere in terms of: (1) uneven distribution of fatalities among species; (2) dominance of migratory species, including foliage/tree-roosting bats; and (3) discrepancy between presence and abundance of species recorded in the wind farm area and in the fatality sample.",research,Brazil,66,14,15,1,43,STUD NEOTROP FAUNA E,Stud. Neotrop. Fauna Environ.,2-Jan,2015,50,1,10.1080/01650521.2014.1001595,http://dx.doi.org/10.1080/01650521.2014.1001595,,,9,Zoology,Science Citation Index Expanded (SCI-EXPANDED),Zoology
J,"Bernard, E; Paese, A; Machado, RB; Aguiar, LMD",Blown in the wind: bats and wind farms in Brazil,NATUREZA & CONSERVACAO,English,Article,Chiroptera; Clean energy; Environmental Impact Assessment; Renewable energy; Wind energy; Wildlife interaction,ENERGY DEVELOPMENT; FATALITIES; FACILITIES; IMPACTS,"The number of wind turbines in operation in Brazil will triple in five years, raising concern for the conservation of Brazilian bats. We analyzed the status of bat species richness and occurrence in areas with high wind potential in Brazil. By crossing datasets on species records and wind potential we identified 21 hotspots and 226 data gap areas. Overall, 70% of the areas with the highest wind potential are data gaps, lacking elementary information about species presence. Current Environment Impact Assessments system for wind farms in Brazil has relaxed regulations and questionable effectiveness. Environmental agencies should require de facto Environment Impact Assessments in data gap areas, with technical rigor proportional to the investment under course. At least for bats, the Brazilian wind power sector must raise the bar, adopting a more rigorous licensing. Alliances to minimize bat mortality at wind farms are necessary and this goal should be pursued in Brazil. (C) 2014 Associacao Brasileira de Ciencia Ecologica e Conservacao. Published by Elsevier Editora Ltda. All rights reserved.",research,Brazil,25,14,17,0,45,NAT CONSERVACAO,Nat. Conserv.,DEC,2014,12,2,10.1016/j.ncon.2014.08.005,http://dx.doi.org/10.1016/j.ncon.2014.08.005,,,6,Biodiversity Conservation,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation
J,"do Amaral, IS; Pereira, MJR; Mader, A; Ferraz, MR; Pereira, JB; De Oliveira, LR",Wind farm bat fatalities in southern Brazil: temporal patterns and influence of environmental factors,HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,English,Article,environmental monitoring; mitigation; wind turbines; bioacoustics; scavenger removal; Tadarida brasiliensis,PIPISTRELLUS-PIPISTRELLUS; HABITAT PREFERENCES; INSECTIVOROUS BATS; ENERGY DEVELOPMENT; SPECIES RICHNESS; MORTALITY; ECHOLOCATION; SELECTION; IMPACTS; FOREST,"Energy demand created by the present model of economic growth has transformed the natural landscape. Changes in megadiverse environments should be accompanied by studies that describe and predict the effects of these changes on ecosystems, underpinning the avoidance or at least the reduction of impacts and species conservation. Wind farm impacts on bats are scarcely known in Brazil. To fulfill this gap on spatiotemporal patterns in bat fatalities in a wind complex in southern Brazil were analysed. Monthly surveys were done around 129 wind towers in search for bat carcasses between 2014 and 2018. The number of specimens found per species was analysed in annual sets and also seasonally to understand the influence of land use in the spatial pattern of bat fatalities. The activity of aerial insectivore bats was monitored using ultrasound detectors and modelled using Generalized Linear Models (GLM), using meteorological variables as predictors. As a result of 48 months of surveys, 266 carcasses of six insectivorous bat species were recorded. The highest number of fatalities belonged to Tadarida brasiliensis. Fatalities occurred exclusively between October and May (Austral Spring to Austral Autumn), mainly in towers near the closest urban centre. Most fatalities occurred in the first (69%) and fourth (17%) years of operation; fatalities were positively related to wind speed. Eighty-three percent of the bat activity occurred between 15 degrees C and 23 degrees C. To minimize fatalities of synanthropic bat species such as T. brasiliensis, we suggest that wind complexes should be located at least 4 km distant from the urban centres, where those species roost. Moreover, between December and March, when most species from subtropical and temperate South America reproduce, wind towers located closer to known roosts should shut down on warmer nights, when bats are more active.",research,Brazil,73,3,3,1,6,HYSTRIX,Hystrix,,2020,31,1,10.4404/hystrix-00256-2019,http://dx.doi.org/10.4404/hystrix-00256-2019,,,8,Zoology,Science Citation Index Expanded (SCI-EXPANDED),Zoology
J,"Valenca, RB; Bernard, E",Another blown in the wind: bats and the licensing of wind farms in Brazil,NATUREZA & CONSERVACAO,English,Article,Chiroptera; Clean energy; Environmental licensing; Renewable energy; Wind energy,ENERGY DEVELOPMENT; FATALITIES; MORTALITY; TURBINES; IMPACTS,"Brazil is the third largest market for new investments in wind power in the world and thousands of turbines will become operational in the coming years. Wind power is necessary but, as any other source of energy, it has environmental impacts, especially on bats. Due to such rapid expansion and the volume of investiments on course, an analysis of the current environmental licensing of wind farms in Brazil is necessary. Here we compared normatives from Brazil with similar ones from Portugal, the United States and Canada. By using 21 driving questions, we detected that there is no an international standard in the licensing of wind farms, ranging from simplified to rigorous approaches, from mandatory to voluntary normatives. Despite having specific and mandatory legislation dated from 2014, Brazil's federal and state normatives have a vague and relaxed approach regarding the possible impacts of wind farms on bats. Larger wind parks can be fractioned in smaller units, licensed based on simplified and less rigorous studies, but with no explanation on how or when such fractionating may occur, neither details on when adopt it. Only Brazilian legislations do not clearly specify the procedures and the minimum necessary effort for pre and post-installation, and which should be the mitigation measures adopted for the impacts of wind farms. The Brazilian federal and state normatives must be revised and until that, the current EIA procedures should be seen as insufficient to accurately determine the real impact of wind farms on the Brazilian bat fauna. (C) 2015 Associacao Brasileira de Ciencia Ecologica e Conservacao. Published by Elsevier Editora Ltda. All rights reserved.",research,Brazil,27,12,13,0,22,NAT CONSERVACAO,Nat. Conserv.,JUL-DEC,2015,13,2,10.1016/j.ncon.2015.09.001,http://dx.doi.org/10.1016/j.ncon.2015.09.001,,,6,Biodiversity Conservation,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation
